tmp/ramdisk.py - bohrium: False, size: 28, elapsed-time: 6.511829
         7139308 function calls (6692348 primitive calls) in 6.741 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      458    0.001    0.000    0.001    0.000 posixpath.py:71(join)
       83    0.000    0.000    0.001    0.000 pyparsing.py:2138(__add__)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
       40    0.000    0.000    0.001    0.000 __init__.py:1912(get_metadata_lines)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
      605    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      168    0.000    0.000    0.001    0.000 __init__.py:2056(<genexpr>)
        1    0.000    0.000    0.001    0.001 util.py:50(__init__)
       40    0.000    0.000    0.001    0.000 __init__.py:1895(get_metadata)
      864    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
        2    0.000    0.000    0.001    0.000 argparse.py:1638(__init__)
        1    0.000    0.000    0.001    0.001 pyparsing.py:5843(makeHTMLTags)
        1    0.000    0.000    0.001    0.001 pyparsing.py:5806(_makeTags)
      500    0.001    0.000    0.001    0.000 _dill.py:127(ndarraysubclassinstance)
      156    0.000    0.000    0.001    0.000 __init__.py:686(add)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ntpath.py:2(<module>)
      642    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
      452    0.000    0.000    0.001    0.000 copy.py:258(_reconstruct)
        1    0.000    0.000    0.001    0.001 string.py:67(__init__)
       84    0.000    0.000    0.001    0.000 pyparsing.py:4011(__init__)
      221    0.000    0.000    0.001    0.000 ntpath.py:61(isabs)
      255    0.000    0.000    0.001    0.000 sre_parse.py:432(_uniq)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.001    0.001 tokenize.py:1(<module>)
     4377    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      133    0.000    0.000    0.001    0.000 pyparsing.py:3870(__init__)
     1000    0.001    0.000    0.001    0.000 _dill.py:386(__missing__)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
      500    0.000    0.000    0.001    0.000 _dill.py:812(_dict_from_dictproxy)
     1176    0.001    0.000    0.001    0.000 __init__.py:2071(dist_factory)
        1    0.000    0.000    0.001    0.001 _pyio.py:1(<module>)
     3041    0.001    0.000    0.001    0.000 {built-in method builtins.any}
      433    0.001    0.000    0.001    0.000 version.py:474(_cmpkey)
      196    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
        7    0.000    0.000    0.001    0.000 enum.py:451(<listcomp>)
      112    0.000    0.000    0.001    0.000 traceback.py:285(line)
       17    0.000    0.000    0.001    0.000 argparse.py:1337(add_argument)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
     9293    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     3181    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
     8541    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
      163    0.000    0.000    0.001    0.000 re.py:201(sub)
        1    0.000    0.000    0.001    0.001 nanfunctions.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:441(StrFormatStyle)
     1000    0.000    0.000    0.001    0.000 pickle.py:742(save_bool)
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      238    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
       84    0.000    0.000    0.001    0.000 linecache.py:15(getline)
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
    88/80    0.000    0.000    0.001    0.000 pyparsing.py:4278(__str__)
      273    0.000    0.000    0.001    0.000 function_base.py:446(_add_docstring)
    26/12    0.000    0.000    0.001    0.000 pyparsing.py:4249(parseImpl)
        1    0.000    0.000    0.001    0.001 getlimits.py:96(_register_known_types)
      312    0.000    0.000    0.001    0.000 posixpath.py:117(splitext)
      259    0.001    0.000    0.001    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
      336    0.001    0.000    0.001    0.000 pyparsing.py:1400(__init__)
      196    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
       84    0.000    0.000    0.001    0.000 linecache.py:37(getlines)
        1    0.000    0.000    0.001    0.001 _methods.py:1(<module>)
       25    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
     2243    0.000    0.000    0.001    0.000 sre_parse.py:160(__len__)
      157    0.000    0.000    0.001    0.000 __init__.py:1319(safe_name)
      452    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
        1    0.000    0.000    0.001    0.001 linecache.py:82(updatecache)
    30/16    0.000    0.000    0.001    0.000 pyparsing.py:4460(parseImpl)
     2389    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     1308    0.000    0.000    0.001    0.000 version.py:98(_compare)
      156    0.000    0.000    0.001    0.000 genericpath.py:39(isdir)
       25    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
      238    0.000    0.000    0.001    0.000 posixpath.py:150(dirname)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
      108    0.000    0.000    0.001    0.000 re.py:186(match)
      165    0.000    0.000    0.001    0.000 genericpath.py:16(exists)
        6    0.000    0.000    0.001    0.000 getlimits.py:37(__init__)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
     5130    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      572    0.000    0.000    0.001    0.000 <string>:1(__new__)
     4349    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
       78    0.000    0.000    0.001    0.000 __init__.py:2877(insert_on)
     1678    0.000    0.000    0.001    0.000 sre_parse.py:172(append)
     4511    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
      138    0.000    0.000    0.001    0.000 __init__.py:1605(_has)
        1    0.000    0.000    0.001    0.001 pickle.py:197(<listcomp>)
     1420    0.000    0.000    0.001    0.000 sre_parse.py:286(tell)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 histograms.py:1(<module>)
        1    0.001    0.001    0.001    0.001 _pyio.py:1966(TextIOWrapper)
      110    0.000    0.000    0.001    0.000 enum.py:828(__and__)
        1    0.000    0.000    0.001    0.001 specifiers.py:257(LegacySpecifier)
